Criptomoneda,Timestamp,Precio,Market Cap,Volumen de Transaccion
Bitcoin,2018-09-02 00:00:00.000,7211.27076786882,124380655386.094,6257915213.83982
Bitcoin,2018-09-03 00:00:00.000,7305.27280100375,125994361368.726,6640164154.54998
Bitcoin,2018-09-04 00:00:00.000,7260.89751664786,125200923805.391,4511643009.56832
Bitcoin,2018-09-05 00:00:00.000,7359.46299292303,126949626755.787,5344233220.45435
Bitcoin,2018-09-06 00:00:00.000,6764.92677377823,116602093876.153,7036065651.07834
Bitcoin,2018-09-07 00:00:00.000,6498.27961260966,112034863191.167,6558109770.57736
Bitcoin,2018-09-08 00:00:00.000,6397.81887024023,110396118506.894,4422971841.98178
Bitcoin,2018-09-09 00:00:00.000,6181.19445075213,106668555553.515,3851077568.004
Bitcoin,2018-09-10 00:00:00.000,6260.76480606248,108219061918.523,4174629547.59403
Bitcoin,2018-09-11 00:00:00.000,6308.13547461663,108846231385.419,4504626593.56522
Bitcoin,2018-09-12 00:00:00.000,6278.91706962856,108449181464.896,5001529025.03247
Bitcoin,2018-09-13 00:00:00.000,6330.57423802266,109298582014.218,5026516732.83119
Bitcoin,2018-09-14 00:00:00.000,6486.46163039362,112124461661.132,4987196751.84311
Bitcoin,2018-09-15 00:00:00.000,6500.01225461663,112334356298.052,5350596522.1363
Bitcoin,2018-09-16 00:00:00.000,6530.22114623466,112796085614.547,4295951323.50604
Bitcoin,2018-09-17 00:00:00.000,6506.24849321729,112373562206.646,4715407407.2624
Bitcoin,2018-09-18 00:00:00.000,6250.12172732273,107960190646.449,4600931272.40057
Bitcoin,2018-09-19 00:00:00.000,6347.06925545161,109629673484.587,4472798160.22433
Bitcoin,2018-09-20 00:00:00.000,6383.75384115838,110292032124.893,5380977505.12002
Bitcoin,2018-09-21 00:00:00.000,6491.88524227688,112172960507.04,5059042419.56276
Bitcoin,2018-09-22 00:00:00.000,6753.83447214033,116710823191.412,5931455399.75628
Bitcoin,2018-09-23 00:00:00.000,6747.03217296002,116607568773.972,5159534298.57135
Bitcoin,2018-09-24 00:00:00.000,6711.02945181593,116001860055.712,4322794079.14057
Bitcoin,2018-09-25 00:00:00.000,6596.18731304558,114024650850.048,4626497701.60778
Bitcoin,2018-09-26 00:00:00.000,6441.31154454255,111360852966.351,4580781824.21302
Bitcoin,2018-09-27 00:00:00.000,6462.79563529224,111760801180.66,3788299697.41092
Bitcoin,2018-09-28 00:00:00.000,6704.70424572972,115905890382.878,4690261094.51513
Bitcoin,2018-09-29 00:00:00.000,6634.76596457291,114768551691.002,3140320712.2601
Bitcoin,2018-09-30 00:00:00.000,6606.07379542208,114265552573.724,2294291064.49145
Bitcoin,2018-10-01 00:00:00.000,6626.03795609849,114617564007.796,1908960742.72166
Bitcoin,2018-10-02 00:00:00.000,6598.84125975518,114225251470.512,1893760872.90185
Bitcoin,2018-10-03 00:00:00.000,6524.60769791521,112814709079.446,2035903501.16126
Bitcoin,2018-10-04 00:00:00.000,6499.26237911522,112545036630.824,2247969611.19743
Bitcoin,2018-10-05 00:00:00.000,6578.70180928485,113846158429.548,2059404665.18945
Bitcoin,2018-10-06 00:00:00.000,6621.18936391992,114567814410.762,1840911129.55842
Bitcoin,2018-10-07 00:00:00.000,6589.12468167889,114021329402.353,1464404365.51708
Bitcoin,2018-10-08 00:00:00.000,6584.83215305251,113962679824.782,1499424737.45856
Bitcoin,2018-10-09 00:00:00.000,6653.08945083043,115167647222.339,2081626437.46317
Bitcoin,2018-10-10 00:00:00.000,6633.74572991717,114837789505.015,1741398466.90259
Bitcoin,2018-10-11 00:00:00.000,6582.4550823871,113987017102.366,2070407901.70111
Bitcoin,2018-10-12 00:00:00.000,6234.36764145444,108155761830.83,3581191342.76734
Bitcoin,2018-10-13 00:00:00.000,6285.59298279984,108845285496.567,2295615181.28724
Bitcoin,2018-10-14 00:00:00.000,6314.88338442257,109372673141.74,1851879464.85163
Bitcoin,2018-10-15 00:00:00.000,6328.55476003442,109624316973.412,1847113723.73537
Bitcoin,2018-10-16 00:00:00.000,6659.87550840943,115236573309.553,6217858944.01843
Bitcoin,2018-10-17 00:00:00.000,6635.12566751684,114960968517.538,2746546151.25011
Bitcoin,2018-10-18 00:00:00.000,6635.74183248794,114953321633.493,2820354466.33031
Bitcoin,2018-10-19 00:00:00.000,6517.51108771053,112970698851.375,2625598930.57284
Bitcoin,2018-10-20 00:00:00.000,6483.8277694718,112394945004.927,2652532021.92997
Bitcoin,2018-10-21 00:00:00.000,6532.67875038381,113214078424.961,2387105749.14339
Bitcoin,2018-10-22 00:00:00.000,6529.67002137084,113208108538.705,2127987152.58665
Bitcoin,2018-10-23 00:00:00.000,6512.58905929892,112905904007.057,2655159954.71683
Bitcoin,2018-10-24 00:00:00.000,6472.79966064159,112227883463.221,2784381146.56888
Bitcoin,2018-10-25 00:00:00.000,6481.44358955808,112363064964.166,2607022301.56129
Bitcoin,2018-10-26 00:00:00.000,6458.1915218368,112010056845.218,2618534041.34684
Bitcoin,2018-10-27 00:00:00.000,6468.82642496562,112200801079.028,2698016930.88201
Bitcoin,2018-10-28 00:00:00.000,6457.05863518667,111998326691.92,2383295890.55824
Bitcoin,2018-10-29 00:00:00.000,6481.32314166761,112422008134.011,2065446088.7884
Bitcoin,2018-10-30 00:00:00.000,6292.6479239344,109167179052.381,3631795693.01334
Bitcoin,2018-10-31 00:00:00.000,6331.78180790981,109890575608.105,1962209613.989
Bitcoin,2018-11-01 00:00:00.000,6366.72010955426,110487418903.245,2042670545.03249
Bitcoin,2018-11-02 00:00:00.000,6379.97297216843,110896563654.922,2922702484.00645
Bitcoin,2018-11-03 00:00:00.000,6425.44158304021,111528929052.521,2675454291.39959
